city;longitude;latitude;wind_speed;wind_direction
Yerevan;44.4991;40.1792;1;320
Gyumri;43.8475;40.7894;1;110
Vanadzor;44.4939;40.8128;1;142
Vagharshapat;44.2946;40.1656;1;320
Hrazdan;44.7667;40.5;1;72
Abovyan;44.6333;40.2667;3;79
Kapan;46.4167;39.2;0;93
Armavir;44.05;40.15;3;306
Artashat;44.55;39.9667;1;7
Gavar;45.1333;40.35;2;263
Ijevan;45.139;40.8788;0;117
Dilijan;44.863;40.74;1;50
Charentsavan;44.646;40.405;2;41
Sevan;44.999;40.548;0;47
Sisian;45.517;39.52;2;40
Ashtarak;44.359;40.299;1;320
Martuni;45.305;40.138;1;258
Spitak;44.267;40.833;1;127
Stepanavan;44.385;41.009;0;53
Masis;44.377;40.065;1;320
Artik;43.8597;40.3744;2;16
Aparan;44.3589;40.5933;1;296
Ararat;44.7044;39.8308;2;13
Yeghvard;44.4833;40.3167;2;22
Nor Hachn;44.5833;40.3;2;49
Talin;43.8756;40.3917;2;28
Alaverdi;44.6736;41.0977;0;78
Akhtala;44.7639;41.1683;0;138
Tashir;44.2847;41.1203;0;248
Berd;45.3894;40.8825;0;157
Chambarak;45.3542;40.5967;2;48
Vardenis;45.7283;40.1833;3;100
Meghri;46.2417;38.9028;2;82
Agarak;46.5444;39.2067;1;102
Kajaran;46.15;39.1667;1;86
Goris;46.3389;39.5111;1;137
Yeghegnadzor;45.3333;39.7639;1;51
Vayk;45.4667;39.6833;2;53
Jermuk;45.6747;39.8417;2;73
Tsaghkadzor;44.72;40.5328;2;34
Byureghavan;44.6;40.3167;2;49
Noratus;45.1833;40.3833;1;277
